isrc,artistName,url,discNumber,genreNames,durationInMillis,releaseDate,name,albumName,trackNumber,composerName,artwork.width,artwork.height,artwork.url,artwork.bgColor,artwork.textColor1,artwork.textColor2,artwork.textColor3,artwork.textColor4,playParams.id,playParams.kind
GBX2M1300001,Studio Killers,https://music.apple.com/us/album/jenny-i-wanna-ruin-our-friendship/1543285268?app=music&at=1000l33QU&i=1543285269&mt=1,1.0,"['Pop', 'Music']",215280.0,2013-05-03,Jenny (I Wanna Ruin Our Friendship),Jenny (I Wanna Ruin Our Friendship) - Single,1.0,"Cherry, Dyna Mink, Goldie Foxx & Rob Davis",1425.0,1425.0,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/5d/10/31/5d103100-a80a-eb87-05d2-8b92679b3d13/075679794505.jpg/{w}x{h}bb.jpeg,fdf7dd,240325,312130,50344a,5a4c52,1543285269,song
GBAHT1600302,Dua Lipa,https://music.apple.com/us/album/blow-your-mind-mwah/1228739599?app=music&at=1000l33QU&i=1228739605&mt=1,1.0,"['Pop', 'Music']",178583.0,2016-08-26,Blow Your Mind (Mwah),Dua Lipa (Deluxe),6.0,"Dua Lipa, Jon Levine & Lauren Christy",2601.0,2601.0,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/ab/af/8b/abaf8bb8-d5dc-8748-8249-48a0697749fc/190295807870.jpg/{w}x{h}bb.jpeg,040003,d2bcc4,dbb1c6,a9969d,af8e9f,1228739605,song
USWD10730703,Hannah Montana,https://music.apple.com/us/album/nobodys-perfect/1445309700?app=music&at=1000l33QU&i=1445309702&mt=1,1.0,"['Soundtrack', 'Music']",200613.0,2007-03-20,Nobody's Perfect,Nobody's Perfect - Single,1.0,,1523.0,1522.0,https://is5-ssl.mzstatic.com/image/thumb/Music124/v4/e3/24/f9/e324f9e2-4767-633a-0ebf-6447ff2a91c8/00050087107482.rgb.jpg/{w}x{h}bb.jpeg,ffffff,150c09,60101c,433d3a,804049,1445309702,song
QZFYX2183729,Subodh Su2,https://music.apple.com/us/album/maya-bhai/1548208915?app=music&at=1000l33QU&i=1548208916&mt=1,1.0,"['Electronica', 'Music', 'Electronic', 'Hip-Hop/Rap']",178145.0,2021-01-10,Maya Bhai,Maya Bhai - Single,1.0,Subodh Su2,3000.0,3000.0,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/60/be/df/60bedf96-1375-2322-d0b4-9359ce9d08e9/artwork.jpg/{w}x{h}bb.jpeg,20242d,f9fafc,cdd6df,cecfd3,abb2bc,1548208916,song
USUM71409576,Maroon 5,https://music.apple.com/us/album/animals/1440855456?app=music&at=1000l33QU&i=1440855552&mt=1,1.0,"['Pop', 'Music']",231079.0,2014-08-22,Animals,V (Deluxe),2.0,"Adam Levine, Shellback & Benjamin Levin",1500.0,1500.0,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/28/41/6f/28416ff2-9172-ded1-6944-cd2189cbfdaf/00602547380265.rgb.jpg/{w}x{h}bb.jpeg,6aaee4,0f0a0e,232233,212b39,313e56,1440855552,song
QZNWQ2019063,TypeHeat,https://music.apple.com/us/album/reality-can-be-whatever-i-want/1538237578?app=music&at=1000l33QU&i=1538237580&mt=1,1.0,"['Hip-Hop/Rap', 'Music', 'Comedy']",71210.0,2020-10-30,Reality Can Be Whatever I Want,Reality Can Be Whatever I Want - Single,1.0,ces mans,3000.0,3000.0,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/69/5d/9b/695d9bd0-eba6-feb8-72cd-566a14790a6c/artwork.jpg/{w}x{h}bb.jpeg,3f0a02,e6bf87,e68c63,c49a6d,c4724f,1538237580,song
USUYG1221109,Trevor Daniel,https://music.apple.com/us/album/falling/1437955872?app=music&at=1000l33QU&i=1437955882&mt=1,1.0,"['Pop', 'Music']",159382.0,2018-10-05,Falling,Falling - Single,1.0,"Charlie Handsome, Trevor Daniel Neill, Danny Snodgrass Jr., Kim Candilora II, Tristan Norton & Martin Kottmeier",3000.0,3000.0,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/a5/96/7b/a5967be5-3ffb-8ec0-7680-084478243444/888915747841_cover.jpg/{w}x{h}bb.jpeg,1e1e1e,fc6503,fd0a22,d05608,d00e21,1437955882,song
USUM72013339,Pop Smoke,https://music.apple.com/us/album/what-you-know-bout-love/1521889004?app=music&at=1000l33QU&i=1521889954&mt=1,1.0,"['Hip-Hop/Rap', 'Music']",160000.0,2020-07-03,What You Know Bout Love,Shoot For The Stars Aim For The Moon,15.0,"Bashar Jackson, Tashim Zene, Troy Oliver & Elgin Lumpkin",3000.0,3000.0,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/1c/ed/39/1ced39e0-c34d-52b0-021c-ff967f21f5bf/20UMGIM55833.rgb.jpg/{w}x{h}bb.jpeg,000000,ffffff,dddddd,cbcbcb,b0b0b0,1521889954,song
TCADI1715361,Serhat Durmus,https://music.apple.com/us/album/la-c%C3%A2lin/1555005561?app=music&at=1000l33QU&i=1555005562&mt=1,1.0,"['Dance', 'Music']",172009.0,2017-04-10,La Câlin,La Câlin - Single,1.0,Serhat Durmus,3000.0,3000.0,https://is2-ssl.mzstatic.com/image/thumb/Music114/v4/f2/81/64/f28164ee-d44f-a2a4-f793-4600a62be3d2/cecf71b2-00bc-4750-92d7-627fd306eaa3.jpg/{w}x{h}bb.jpeg,121212,bed4e0,8ebece,9cadb7,759ba9,1555005562,song
USHM81020595,Roar,https://music.apple.com/us/album/i-cant-handle-change/387239482?app=music&at=1000l33QU&i=387239508&mt=1,1.0,"['Pop', 'Music']",198213.0,2010-03-14,I Can't Handle Change,I Can't Handle Change - EP,1.0,Owen Richard Evans,600.0,600.0,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/88/66/30/88663017-da52-8452-824f-82d863508a96/mzi.cyaqexhp.jpg/{w}x{h}bb.jpeg,ffffff,010101,181818,343434,464646,387239508,song
BXKZM1900417,MC Madan,https://music.apple.com/us/album/palha%C3%A7%C3%A3o-do-mal/1486200322?app=music&at=1000l33QU&i=1486200331&mt=1,1.0,"['Brazilian', 'Music']",205767.0,2019-11-08,Palhação do Mal,Palhação do Mal - Single,1.0,Diogo Vieira Marreiro dos Santos,3000.0,3000.0,https://is2-ssl.mzstatic.com/image/thumb/Music123/v4/57/df/6f/57df6fe3-0f3b-9ab4-e4b3-bc0a2651cb9e/194491577896.jpg/{w}x{h}bb.jpeg,21202e,fffcf3,fa6b66,d2cfcb,ce5c5b,1486200331,song
USIR10211038,Eminem,https://music.apple.com/us/album/without-me/1445726870?app=music&at=1000l33QU&i=1445727334&mt=1,1.0,"['Hip-Hop/Rap', 'Music', 'Hardcore Rap', 'Hip-Hop', 'Rock']",291213.0,2002-05-14,Without Me,Curtain Call - The Hits (Deluxe Version),9.0,"Marshall Mathers, Jeffrey Bass, Kevin Bell, Malcolm McLaren, Trevor Horn & Anne Dudley",3746.0,3746.0,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/01/be/e0/01bee04f-a126-4f42-fa54-ff3b37c97639/06UMGIM16683.rgb.jpg/{w}x{h}bb.jpeg,000d1d,f6eff3,a3e279,c4c2c8,82b767,1445727334,song
USJI10600269,Justin Timberlake,https://music.apple.com/us/album/sexyback-feat-timbaland/187665948?app=music&at=1000l33QU&i=187666051&mt=1,1.0,"['Pop', 'Music']",242733.0,2006-07-18,SexyBack (feat. Timbaland),FutureSex/LoveSounds,2.0,"Justin Timberlake, Timbaland & Danjahandz",1425.0,1425.0,https://is5-ssl.mzstatic.com/image/thumb/Music124/v4/d5/7a/a5/d57aa570-6a18-5f37-e80f-152a5e8ff1e0/888880017444.jpg/{w}x{h}bb.jpeg,e4e1da,0c0a08,2e241b,373532,534a41,187666051,song
USUM72013339,Pop Smoke,https://music.apple.com/us/album/what-you-know-bout-love/1521889004?app=music&at=1000l33QU&i=1521889954&mt=1,1.0,"['Hip-Hop/Rap', 'Music']",160000.0,2020-07-03,What You Know Bout Love,Shoot For The Stars Aim For The Moon,15.0,"Bashar Jackson, Tashim Zene, Troy Oliver & Elgin Lumpkin",3000.0,3000.0,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/1c/ed/39/1ced39e0-c34d-52b0-021c-ff967f21f5bf/20UMGIM55833.rgb.jpg/{w}x{h}bb.jpeg,000000,ffffff,dddddd,cbcbcb,b0b0b0,1521889954,song
USQX91902507,Labrinth,https://music.apple.com/us/album/still-dont-know-my-name/1481092579?app=music&at=1000l33QU&i=1481092695&mt=1,1.0,"['Soundtrack', 'Music']",153294.0,2019-10-04,Still Don't Know My Name,Euphoria (Original Score from the HBO Series),12.0,Labrinth,3000.0,3000.0,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/6f/f4/05/6ff40578-72c8-e9ed-5413-96dc4874cc86/886447932223.jpg/{w}x{h}bb.jpeg,020a34,edebec,8fa5e5,bebec7,7286c2,1481092695,song
QZHZ42079755,"Judubre, Ese Té & M-Pro",https://music.apple.com/us/album/neon/1520312686?app=music&at=1000l33QU&i=1520312687&mt=1,1.0,"['Electronic', 'Music', 'Instrumental']",206899.0,2020-06-19,Neon,Aura,1.0,Judubre,3000.0,3000.0,https://is4-ssl.mzstatic.com/image/thumb/Music123/v4/cc/af/f7/ccaff73c-1f8c-0dc2-1c70-0820971212c9/0.jpg/{w}x{h}bb.jpeg,1b1d34,4faedf,c98fd6,4491bd,a678b5,1520312687,song
GB28K1400058,David Guetta,https://music.apple.com/us/album/hey-mama-feat-nicki-minaj-bebe-rexha-afrojack/924562828?app=music&at=1000l33QU&i=924568962&mt=1,1.0,"['Dance', 'Music']",192560.0,2014-03-16,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",Listen,10.0,"David Guetta, Giorgio Tuinfort, Nick van de Wall, Afrojack, Bebe Rexha, Nicki Minaj, Alan Lomax, Esther Dean, John A. Lomax & Sean Douglas",1500.0,1500.0,https://is5-ssl.mzstatic.com/image/thumb/Music124/v4/68/7f/d5/687fd582-2387-5044-a881-0bc4f0697338/825646194315.jpg/{w}x{h}bb.jpeg,0e0e0e,f0f0ed,c1c1be,c2c2c1,9d9d9b,924568962,song
GBUM71029604,Queen,https://music.apple.com/us/album/bohemian-rhapsody/1440650428?app=music&at=1000l33QU&i=1440650711&mt=1,1.0,"['Rock', 'Music']",355145.0,1975-10-31,Bohemian Rhapsody,"The Platinum Collection (Greatest Hits I, II & III)",1.0,,1500.0,1500.0,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/64/03/a9/6403a996-67b1-8e2d-802b-3776a190651e/14DMGIM05632.rgb.jpg/{w}x{h}bb.jpeg,898d96,050608,1a1a1c,202124,303135,1440650711,song
USAT22002973,Royal & the Serpent,https://music.apple.com/us/album/overwhelmed/1534934563?app=music&at=1000l33QU&i=1534934576&mt=1,1.0,"['Alternative', 'Music']",159293.0,2020-06-29,Overwhelmed,get a grip - EP,1.0,"Ryan Jillian Santiago, Mark Gozman, Jeoffrey Daniel Harris & Will Behlendorf",1425.0,1425.0,https://is3-ssl.mzstatic.com/image/thumb/Music114/v4/58/5d/1f/585d1fb6-1398-bb3c-0310-92986115df1d/075679799050.jpg/{w}x{h}bb.jpeg,101121,fae0c1,d8e070,cbb7a1,afb760,1534934576,song
USNLR1900407,Hildur Guðnadóttir,https://music.apple.com/us/album/bathroom-dance/1481598135?app=music&at=1000l33QU&i=1481598347&mt=1,1.0,"['Soundtrack', 'Music']",128280.0,2019-10-02,Bathroom Dance,Joker (Original Motion Picture Soundtrack),13.0,Hildur Guðnadóttir,3000.0,3000.0,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/bb/45/af/bb45afd7-eef7-84d5-40fc-943aef24a3c8/794043201745.jpg/{w}x{h}bb.jpeg,21120d,dcedc5,dee3cf,b6c1a0,b8b9a8,1481598347,song
QZNWW2095811,DanceToTik,https://music.apple.com/us/album/billie-jean-boo-f-it-up-tik/1543729768?app=music&at=1000l33QU&i=1543729771&mt=1,1.0,"['Pop', 'Music']",113084.0,2020-12-07,"Billie Jean,Boo, F It Up Tik","Billie Jean,Boo, F It Up Tik - Single",1.0,Kimmy Lu,3000.0,3000.0,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/1e/a1/54/1ea15425-c113-7e9d-8fee-e78e36ebe8f9/artwork.jpg/{w}x{h}bb.jpeg,cfa9a8,1e1b1e,29272a,41383a,4a4143,1543729771,song
USAT21811534,Panic! At the Disco,https://music.apple.com/us/album/the-greatest-show/1439343342?app=music&at=1000l33QU&i=1439343343&mt=1,1.0,"['Alternative', 'Music']",174307.0,2017-12-08,The Greatest Show,The Greatest Showman: Reimagined,1.0,"Benj Pasek, Justin Paul & Ryan Lewis",1425.0,1425.0,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/45/bf/b6/45bfb66e-ff43-f09a-41e4-51269729a2bc/075679877116.jpg/{w}x{h}bb.jpeg,030612,deac5d,d3a25b,b28b4e,aa834d,1439343343,song
QZK6M2028073,CORPSE & Savage Ga$p,https://music.apple.com/us/album/e-girls-are-ruining-my-life/1534761639?app=music&at=1000l33QU&i=1534761640&mt=1,1.0,"['Hip-Hop/Rap', 'Music', 'Alternative']",105176.0,2020-08-21,E-Girls Are Ruining My Life!,E-Girls Are Ruining My Life! - Single,1.0,CORPSE H,3000.0,3000.0,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/d1/b5/71/d1b5716d-a8bf-a37d-56e4-b499fde3d1fb/artwork.jpg/{w}x{h}bb.jpeg,110d0a,cdbeb8,cdb0a3,a89a95,a78f85,1534761640,song
BXG6R2000139,MC Teteu,https://music.apple.com/us/album/rave-na-praia/1501781287?app=music&at=1000l33QU&i=1501781288&mt=1,1.0,"['Brazilian', 'Music']",203636.0,2020-02-29,Rave Na Praia,Rave Na Praia - Single,1.0,Israel Rios,1400.0,1400.0,https://is3-ssl.mzstatic.com/image/thumb/Music114/v4/ce/76/82/ce768278-8765-4954-4448-e9cfa2928684/192641457555_Cover.jpg/{w}x{h}bb.jpeg,131627,ececf6,1eb8d7,c0c1cd,1c97b4,1501781288,song
QMGR32142379,WhoHeem,https://music.apple.com/us/album/lets-link/1531921447?app=music&at=1000l33QU&i=1531921451&mt=1,1.0,"['Hip-Hop/Rap', 'Music']",159955.0,2020-08-20,Lets Link,Lets Link - Single,1.0,"Calvin Burdine, Micha Armstard & Kyle Anuforo",3000.0,3000.0,https://is3-ssl.mzstatic.com/image/thumb/Music114/v4/55/49/90/554990d8-3771-5682-e28b-03f1a44dd976/748926856577.jpg/{w}x{h}bb.jpeg,0a2bd4,fefefe,d4e2fc,cdd4f6,acbdf4,1531921451,song
QZHNC2078374,Ander Huang & DJ Kuromi,https://music.apple.com/us/album/f-boy/1552905739?app=music&at=1000l33QU&i=1552906473&mt=1,1.0,"['Dance', 'Music']",199839.0,2020-08-22,F Boy,TikTok Songs Viral Hits,11.0,,1400.0,1400.0,https://is5-ssl.mzstatic.com/image/thumb/Music114/v4/0b/7f/12/0b7f122b-eb9f-e16e-c083-edadaacba355/5059460070714.jpg/{w}x{h}bb.jpeg,000000,fffeff,37f8ef,cbcbcb,2cc6bf,1552906473,song
USSM11303912,Cults,https://music.apple.com/us/album/always-forever/692818113?app=music&at=1000l33QU&i=692818120&mt=1,1.0,"['Alternative', 'Music', 'Rock', 'Pop', 'Pop/Rock']",223750.0,2013-10-11,Always Forever,Static,3.0,Madeline Follin & Brian Oblivion,1500.0,1500.0,https://is5-ssl.mzstatic.com/image/thumb/Music4/v4/36/89/ac/3689acac-cf57-6004-d48c-65c74bfaedc0/886444170673.jpg/{w}x{h}bb.jpeg,fefdf8,02070b,121531,34383a,414359,692818120,song
USQY50955573,Euge Groove,https://music.apple.com/us/album/sunday-morning/799785652?app=music&at=1000l33QU&i=799785744&mt=1,1.0,"['Jazz', 'Music', 'Smooth Jazz', 'Contemporary Jazz']",283733.0,2009-10-27,Sunday Morning,Sunday Morning,5.0,,1610.0,1448.0,https://is3-ssl.mzstatic.com/image/thumb/Music6/v4/39/68/b6/3968b650-f8a2-66ad-39d7-c2a0ee5329cf/016351517821.jpg/{w}x{h}bb.jpeg,202018,faf8f9,d9d8d2,cecdcc,b4b3ac,799785744,song
QZMEP2055855,Burimkosa,https://music.apple.com/us/album/bollywood-2-instrumental/1536081834?app=music&at=1000l33QU&i=1536081835&mt=1,1.0,"['Hip-Hop/Rap', 'Music', 'R&B/Soul']",140722.0,2020-10-15,Bollywood 2 (Instrumental),Bollywood 2 (Instrumental) - Single,1.0,Burim Hajra,3000.0,3000.0,https://is3-ssl.mzstatic.com/image/thumb/Music114/v4/40/2c/4f/402c4fce-631a-7037-b09c-8253b9dc4265/artwork.jpg/{w}x{h}bb.jpeg,000000,fbfdfa,44dcfa,c9cac8,36b0c8,1536081835,song
FR2X41995153,Garry Sandhu & Afsana Khan,https://music.apple.com/us/album/doabey-wala-refix-version/1465701692?app=music&at=1000l33QU&i=1465701698&mt=1,1.0,"['Regional Indian', 'Music', 'Indian']",223041.0,2019-05-24,Doabey Wala (Refix Version),Doabey Wala (Refix Version) - Single,1.0,Lovey Akhtar & Garry Sandhu,1440.0,1440.0,https://is5-ssl.mzstatic.com/image/thumb/Music113/v4/bf/e8/92/bfe892f4-8cc9-c92f-7c1d-63e337532470/cover.jpg/{w}x{h}bb.jpeg,171219,e0d0cc,d8c8d4,b8aaa8,b1a3af,1465701698,song
NLH2L1700199,Noisecontrollers,https://music.apple.com/us/album/whose-plan-is-it-extended-mix/1470616526?app=music&at=1000l33QU&i=1470616555&mt=1,1.0,"['Dance', 'Music']",345600.0,2017-11-03,Whose Plan Is It (Extended Mix),Whose Plan Is It - Single,2.0,Bastiaan Oskam,3000.0,3000.0,https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/07/05/17/070517d1-c525-e7a0-f848-e1fe33969441/8719244843718_cover.jpg/{w}x{h}bb.jpeg,271a14,f8fdf9,f5fcad,ced0cb,cccf8f,1470616555,song
ITSU11600244,M.S. Art,https://music.apple.com/us/album/eye-of-the-tiger-instrumental-version-from-rocky/1175313614?app=music&at=1000l33QU&i=1175313768&mt=1,1.0,"['Rock', 'Music']",248667.0,2016-11-14,"Eye of the Tiger (Instrumental Version) [From ""Rocky""]",Rock Soundtracks (20 Movie Soundtracks in Rock Style),1.0,Survivor,1440.0,1440.0,https://is3-ssl.mzstatic.com/image/thumb/Music71/v4/87/6b/ab/876bab38-0366-9542-d095-d724b7ee15c8/cover.jpg/{w}x{h}bb.jpeg,1c0202,acb6cd,f6031f,8f92a4,cb0219,1175313768,song
USSM10305425,Beyoncé,https://music.apple.com/us/album/crazy-in-love-feat-jay-z/201274359?app=music&at=1000l33QU&i=201274644&mt=1,1.0,"['Pop', 'Music', 'R&B/Soul', 'Contemporary R&B', 'Dance']",236133.0,2003-05-18,Crazy in Love (feat. Jay-Z),Dangerously in Love,1.0,"Beyoncé Knowles, Beyoncé, Rich Harrison, Shawn Carter & Eugene Record",600.0,600.0,https://is1-ssl.mzstatic.com/image/thumb/Music/03/c5/d4/mzi.ldvrmhxt.jpg/{w}x{h}bb.jpeg,a4b1c4,160807,34251d,322a2c,4a413e,201274644,song
USIR10311862,Black Eyed Peas,https://music.apple.com/us/album/where-is-the-love/1440715306?app=music&at=1000l33QU&i=1440715628&mt=1,1.0,"['Pop', 'Music', 'Hip-Hop/Rap', 'Hip-Hop', 'R&B/Soul', 'Dance', 'Reggae', 'Modern Dancehall', 'Electronic', 'Alternative Rap', 'Rock']",272533.0,2003-06-16,Where Is the Love?,Elephunk,13.0,"William Adams, Justin Timberlake, Jaime Gomez, Allan Pineda, Printz Board, Michael Fratantuno, George Pajon Jr. & J. Curtis",1706.0,1706.0,https://is5-ssl.mzstatic.com/image/thumb/Music114/v4/87/be/a2/87bea253-ddd2-9e90-1979-92e8a43e8d25/00075021016927.rgb.jpg/{w}x{h}bb.jpeg,3c7280,fdf9cc,eff3d7,d6debd,cbd9c5,1440715628,song
NLYK91700007,Deep Chills,https://music.apple.com/us/album/run-free-radio-edit-feat-ivie/1271464504?app=music&at=1000l33QU&i=1271464924&mt=1,1.0,"['House', 'Music', 'Dance']",170562.0,2017-08-18,Run Free (Radio Edit) [feat. IVIE],Run Free (feat. IVIE) - Single,1.0,,3000.0,3000.0,https://is4-ssl.mzstatic.com/image/thumb/Music124/v4/1d/46/09/1d460939-00c6-d8d6-6658-f47cfd922fde/cover.jpg/{w}x{h}bb.jpeg,1e0b27,ffffff,b1c4d2,d1ced3,939fb0,1271464924,song
GBX2M1300001,Studio Killers,https://music.apple.com/us/album/jenny-i-wanna-ruin-our-friendship/1543285268?app=music&at=1000l33QU&i=1543285269&mt=1,1.0,"['Pop', 'Music']",215280.0,2013-05-03,Jenny (I Wanna Ruin Our Friendship),Jenny (I Wanna Ruin Our Friendship) - Single,1.0,"Cherry, Dyna Mink, Goldie Foxx & Rob Davis",1425.0,1425.0,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/5d/10/31/5d103100-a80a-eb87-05d2-8b92679b3d13/075679794505.jpg/{w}x{h}bb.jpeg,fdf7dd,240325,312130,50344a,5a4c52,1543285269,song
AEA0Q2090977,Prageeth Perera,https://music.apple.com/us/album/oba-gana-mathake/1528719468?app=music&at=1000l33QU&i=1528719469&mt=1,1.0,"['Blues', 'Music']",223000.0,2020-08-21,Oba Gana Mathake,Oba Gana Mathake - Single,1.0,Prageeth Perera,3100.0,3100.0,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/99/12/d9/9912d993-3977-31db-0b69-f16e05f81c47/cover.jpg/{w}x{h}bb.jpeg,160805,eed6d9,ef9029,c3adaf,c37522,1528719469,song
